model,config,problem,topic,outcome,passed,compiled,error_kind,mismatches,iterations,finished,tool_calls,compile_calls,rag_calls,llm_calls,prompt_tokens,completion_tokens,total_tokens,wall_seconds,agent_error
gemma4_26b_a4b,baseline,Prob020_mt2015_eq2,arithmetic,pass,1,1,,0,1,1,0,0,0,1,149,332,481,28.591,
gemma4_26b_a4b,baseline,Prob021_mux256to1v,combinational,pass,1,1,,0,1,1,0,0,0,1,191,1206,1397,60.558,
gemma4_26b_a4b,baseline,Prob022_mux2to1,combinational,pass,1,1,,0,1,1,0,0,0,1,127,456,583,40.671,
gemma4_26b_a4b,baseline,Prob023_vector100r,combinational,pass,1,1,,0,1,1,0,0,0,1,111,895,1006,47.129,
gemma4_26b_a4b,baseline,Prob024_hadd,arithmetic,pass,1,1,,0,1,1,0,0,0,1,121,346,467,37.549,
gemma4_26b_a4b,baseline,Prob025_reduction,arithmetic,pass,1,1,,0,1,1,0,0,0,1,162,900,1062,65.936,
gemma4_26b_a4b,baseline,Prob026_alwaysblock1,combinational,pass,1,1,,0,1,1,0,0,0,1,115,596,711,49.868,
gemma4_26b_a4b,baseline,Prob027_fadd,arithmetic,pass,1,1,,0,1,1,0,0,0,1,126,476,602,48.729,
gemma4_26b_a4b,baseline,Prob028_m2014_q4a,sequential,pass,1,1,,0,1,1,0,0,0,1,99,1140,1239,59.514,
gemma4_26b_a4b,baseline,Prob029_m2014_q4g,combinational,pass,1,1,,0,1,1,0,0,0,1,159,1650,1809,83.103,
gemma4_26b_a4b,baseline,Prob030_popcount255,combinational,pass,1,1,,0,1,1,0,0,0,1,132,1149,1281,63.798,
gemma4_26b_a4b,baseline,Prob031_dff,sequential,pass,1,1,,0,1,1,0,0,0,1,111,1502,1613,77.048,
gemma4_26b_a4b,baseline,Prob032_vector0,combinational,pass,1,1,,0,1,1,0,0,0,1,160,660,820,63.634,
gemma4_26b_a4b,baseline,Prob033_ece241_2014_q1c,arithmetic,pass,1,1,,0,1,1,0,0,0,1,158,1220,1378,87.197,
gemma4_26b_a4b,baseline,Prob034_dff8,sequential,functional_mismatch,0,1,,1,1,1,0,0,0,1,122,441,563,64.036,
gemma4_26b_a4b,baseline,Prob035_count1to10,sequential,pass,1,1,,0,1,1,0,0,0,1,142,1412,1554,101.769,
gemma4_26b_a4b,baseline,Prob036_ringer,combinational,pass,1,1,,0,1,1,0,0,0,1,193,869,1062,67.802,
gemma4_26b_a4b,baseline,Prob037_review2015_count1k,sequential,pass,1,1,,0,1,1,0,0,0,1,155,779,934,51.009,
gemma4_26b_a4b,baseline,Prob038_count15,sequential,pass,1,1,,0,1,1,0,0,0,1,155,702,857,62.834,
gemma4_26b_a4b,baseline,Prob039_always_if,combinational,pass,1,1,,0,1,1,0,0,0,1,170,1061,1231,72.186,
gemma4_26b_a4b,baseline,Prob040_count10,sequential,pass,1,1,,0,1,1,0,0,0,1,149,896,1045,62.865,
gemma4_26b_a4b,baseline,Prob041_dff8r,sequential,pass,1,1,,0,1,1,0,0,0,1,137,494,631,61.568,
gemma4_26b_a4b,baseline,Prob042_vector4,arithmetic,pass,1,1,,0,1,1,0,0,0,1,282,646,928,48.537,
gemma4_26b_a4b,baseline,Prob043_vector5,combinational,functional_mismatch,0,1,,76,1,1,0,0,0,1,226,3836,4062,171.871,
gemma4_26b_a4b,baseline,Prob044_vectorgates,combinational,pass,1,1,,0,1,1,0,0,0,1,201,865,1066,64.187,
gemma4_26b_a4b,baseline,Prob045_edgedetect2,sequential,pass,1,1,,0,1,1,0,0,0,1,182,3908,4090,164.032,
gemma4_26b_a4b,baseline,Prob046_dff8p,sequential,pass,1,1,,0,1,1,0,0,0,1,151,633,784,44.898,
gemma4_26b_a4b,baseline,Prob047_dff8ar,sequential,pass,1,1,,0,1,1,0,0,0,1,144,777,921,60.255,
gemma4_26b_a4b,baseline,Prob048_m2014_q4c,sequential,pass,1,1,,0,1,1,0,0,0,1,114,630,744,53.145,
gemma4_26b_a4b,baseline,Prob049_m2014_q4b,sequential,pass,1,1,,0,1,1,0,0,0,1,112,643,755,72.988,
gemma4_26b_a4b,baseline,Prob050_kmap1,kmap_logic,pass,1,1,,0,1,1,0,0,0,1,160,2723,2883,151.015,
gemma4_26b_a4b,baseline,Prob051_gates4,combinational,pass,1,1,,0,1,1,0,0,0,1,180,763,943,75.288,
gemma4_26b_a4b,baseline,Prob052_gates100,combinational,pass,1,1,,0,1,1,0,0,0,1,192,693,885,100.379,
gemma4_26b_a4b,baseline,Prob053_m2014_q4d,sequential,functional_mismatch,0,1,,1,1,1,0,0,0,1,153,793,946,107.576,
gemma4_26b_a4b,baseline,Prob054_edgedetect,sequential,pass,1,1,,0,1,1,0,0,0,1,155,2875,3030,184.987,
gemma4_26b_a4b,baseline,Prob055_conditional,arithmetic,pass,1,1,,0,1,1,0,0,0,1,148,1075,1223,108.348,
gemma4_26b_a4b,baseline,Prob056_ece241_2013_q7,sequential,pass,1,1,,0,1,1,0,0,0,1,170,1476,1646,107.538,
gemma4_26b_a4b,baseline,Prob057_kmap2,kmap_logic,truncated,0,0,,,1,1,0,0,0,1,197,8192,8389,332.596,response truncated at max_tokens
gemma4_26b_a4b,baseline,Prob058_alwaysblock2,sequential,pass,1,1,,0,1,1,0,0,0,1,201,739,940,74.844,
gemma4_26b_a4b,baseline,Prob059_wire4,combinational,pass,1,1,,0,1,1,0,0,0,1,134,368,502,79.864,
gemma4_26b_a4b,baseline,Prob060_m2014_q4k,sequential,pass,1,1,,0,1,1,0,0,0,1,129,2491,2620,145.631,
gemma4_26b_a4b,baseline,Prob061_2014_q4a,sequential,pass,1,1,,0,1,1,0,0,0,1,171,1034,1205,103.741,
gemma4_26b_a4b,baseline,Prob062_bugs_mux2,combinational,functional_mismatch,0,1,,111,1,1,0,0,0,1,143,1866,2009,127.324,
gemma4_26b_a4b,baseline,Prob063_review2015_shiftcount,sequential,functional_mismatch,0,1,,1886,1,1,0,0,0,1,228,1226,1454,97.531,
gemma4_26b_a4b,baseline,Prob064_vector3,combinational,pass,1,1,,0,1,1,0,0,0,1,271,2605,2876,190.024,
gemma4_26b_a4b,baseline,Prob065_7420,combinational,pass,1,1,,0,1,1,0,0,0,1,198,725,923,110.993,
gemma4_26b_a4b,baseline,Prob066_edgecapture,sequential,functional_mismatch,0,1,,91,1,1,0,0,0,1,179,2198,2377,151.601,
gemma4_26b_a4b,baseline,Prob067_countslow,sequential,pass,1,1,,0,1,1,0,0,0,1,193,1011,1204,110.581,
gemma4_26b_a4b,baseline,Prob068_countbcd,sequential,pass,1,1,,0,1,1,0,0,0,1,205,5582,5787,278.398,
gemma4_26b_a4b,baseline,Prob069_truthtable1,kmap_logic,pass,1,1,,0,1,1,0,0,0,1,241,2792,3033,187.74,
gemma4_26b_a4b,baseline,Prob070_ece241_2013_q2,kmap_logic,truncated,0,0,,,1,1,0,0,0,1,279,8192,8471,395.668,response truncated at max_tokens
gemma4_26b_a4b,baseline,Prob071_always_casez,combinational,pass,1,1,,0,1,1,0,0,0,1,186,2732,2918,228.03,
gemma4_26b_a4b,baseline,Prob072_thermostat,arithmetic,pass,1,1,,0,1,1,0,0,0,1,302,1336,1638,172.712,
gemma4_26b_a4b,baseline,Prob073_dff16e,sequential,pass,1,1,,0,1,1,0,0,0,1,230,1695,1925,216.8,
gemma4_26b_a4b,baseline,Prob074_ece241_2014_q4,fsm,pass,1,1,,0,1,1,0,0,0,1,252,3767,4019,304.171,
gemma4_26b_a4b,baseline,Prob075_counter_2bc,sequential,pass,1,1,,0,1,1,0,0,0,1,251,1435,1686,173.148,
gemma4_26b_a4b,baseline,Prob076_always_case,combinational,pass,1,1,,0,1,1,0,0,0,1,203,1384,1587,165.58,
gemma4_26b_a4b,baseline,Prob077_wire_decl,arithmetic,pass,1,1,,0,1,1,0,0,0,1,263,871,1134,121.932,
gemma4_26b_a4b,baseline,Prob078_dualedge,sequential,pass,1,1,,0,1,1,0,0,0,1,165,4297,4462,258.005,
gemma4_26b_a4b,baseline,Prob079_fsm3onehot,fsm,pass,1,1,,0,1,1,0,0,0,1,281,8110,8391,388.03,
gemma4_26b_a4b,baseline,Prob080_timer,sequential,pass,1,1,,0,1,1,0,0,0,1,323,2121,2444,173.617,
gemma4_26b_a4b,baseline,Prob081_7458,combinational,pass,1,1,,0,1,1,0,0,0,1,356,1009,1365,108.774,
gemma4_26b_a4b,baseline,Prob082_lfsr32,sequential,truncated,0,0,,,1,1,0,0,0,1,245,8192,8437,387.303,response truncated at max_tokens
gemma4_26b_a4b,baseline,Prob083_mt2015_q4b,combinational,pass,1,1,,0,1,1,0,0,0,1,313,1443,1756,169.306,
gemma4_26b_a4b,baseline,Prob084_ece241_2013_q12,sequential,pass,1,1,,0,1,1,0,0,0,1,341,6558,6899,361.762,
gemma4_26b_a4b,baseline,Prob085_shift4,sequential,pass,1,1,,0,1,1,0,0,0,1,262,2234,2496,213.22,
gemma4_26b_a4b,baseline,Prob086_lfsr5,sequential,truncated,0,0,,,1,1,0,0,0,1,286,8192,8478,483.212,response truncated at max_tokens
gemma4_26b_a4b,baseline,Prob087_gates,combinational,pass,1,1,,0,1,1,0,0,0,1,251,957,1208,222.001,
gemma4_26b_a4b,baseline,Prob088_ece241_2014_q5b,fsm,pass,1,1,,0,1,1,0,0,0,1,213,3550,3763,316.845,
gemma4_26b_a4b,baseline,Prob089_ece241_2014_q5a,fsm,pass,1,1,,0,1,1,0,0,0,1,213,7716,7929,500.279,
gemma4_26b_a4b,baseline,Prob090_circuit1,combinational,pass,1,1,,0,1,1,0,0,0,1,328,618,946,170.103,
gemma4_26b_a4b,baseline,Prob091_2012_q2b,fsm,truncated,0,0,,,1,1,0,0,0,1,375,8192,8567,427.291,response truncated at max_tokens
gemma4_26b_a4b,baseline,Prob092_gatesv100,combinational,pass,1,1,,0,1,1,0,0,0,1,441,6010,6451,358.024,
gemma4_26b_a4b,baseline,Prob093_ece241_2014_q3,kmap_logic,truncated,0,0,,,1,1,0,0,0,1,396,8192,8588,485.303,response truncated at max_tokens
gemma4_26b_a4b,baseline,Prob094_gatesv,combinational,pass,1,1,,0,1,1,0,0,0,1,425,3475,3900,401.219,
gemma4_26b_a4b,baseline,Prob095_review2015_fsmshift,fsm,truncated,0,0,,,1,1,0,0,0,1,177,8192,8369,473.897,response truncated at max_tokens
gemma4_26b_a4b,baseline,Prob096_review2015_fsmseq,fsm,pass,1,1,,0,1,1,0,0,0,1,163,4552,4715,429.156,
gemma4_26b_a4b,baseline,Prob097_mux9to1v,combinational,pass,1,1,,0,1,1,0,0,0,1,249,1329,1578,291.104,
gemma4_26b_a4b,baseline,Prob098_circuit7,sequential,truncated,0,0,,,1,1,0,0,0,1,339,8192,8531,473.894,response truncated at max_tokens
gemma4_26b_a4b,baseline,Prob099_m2014_q6c,fsm,truncated,0,0,,,1,1,0,0,0,1,392,8192,8584,473.889,response truncated at max_tokens
gemma4_26b_a4b,baseline,Prob100_fsm3comb,fsm,pass,1,1,,0,1,1,0,0,0,1,281,2188,2469,120.837,
gemma4_26b_a4b,baseline,Prob101_circuit4,combinational,pass,1,1,,0,1,1,0,0,0,1,418,3986,4404,225.941,
gemma4_26b_a4b,baseline,Prob102_circuit3,combinational,pass,1,1,,0,1,1,0,0,0,1,418,5176,5594,295.976,
gemma4_26b_a4b,baseline,Prob103_circuit2,combinational,pass,1,1,,0,1,1,0,0,0,1,418,3543,3961,199.74,
gemma4_26b_a4b,baseline,Prob104_mt2015_muxdff,sequential,functional_mismatch,0,1,,1,1,1,0,0,0,1,308,4135,4443,234.994,
gemma4_26b_a4b,baseline,Prob105_rotate100,sequential,pass,1,1,,0,1,1,0,0,0,1,321,2961,3282,173.432,
gemma4_26b_a4b,baseline,Prob106_always_nolatches,sequential,pass,1,1,,0,1,1,0,0,0,1,282,2828,3110,166.673,
gemma4_26b_a4b,baseline,Prob107_fsm1s,fsm,pass,1,1,,0,1,1,0,0,0,1,180,1957,2137,115.193,
gemma4_26b_a4b,baseline,Prob108_rule90,sequential,pass,1,1,,0,1,1,0,0,0,1,396,4256,4652,251.233,
gemma4_26b_a4b,baseline,Prob109_fsm1,fsm,pass,1,1,,0,1,1,0,0,0,1,159,4248,4407,249.716,
gemma4_26b_a4b,baseline,Prob110_fsm2,fsm,pass,1,1,,0,1,1,0,0,0,1,193,1903,2096,112.035,
gemma4_26b_a4b,baseline,Prob111_fsm2s,fsm,pass,1,1,,0,1,1,0,0,0,1,192,1905,2097,112.409,
gemma4_26b_a4b,baseline,Prob112_always_case2,combinational,pass,1,1,,0,1,1,0,0,0,1,227,4020,4247,235.556,
gemma4_26b_a4b,baseline,Prob113_2012_q1g,kmap_logic,truncated,0,0,,,1,1,0,0,0,1,204,8192,8396,479.335,response truncated at max_tokens
gemma4_26b_a4b,baseline,Prob114_bugs_case,combinational,pass,1,1,,0,1,1,0,0,0,1,297,2906,3203,169.528,
gemma4_26b_a4b,baseline,Prob115_shift18,sequential,pass,1,1,,0,1,1,0,0,0,1,327,2016,2343,116.954,
gemma4_26b_a4b,baseline,Prob116_m2014_q3,arithmetic,truncated,0,0,,,1,1,0,0,0,1,215,8192,8407,479.908,response truncated at max_tokens
gemma4_26b_a4b,baseline,Prob117_circuit9,sequential,truncated,0,0,,,1,1,0,0,0,1,328,8192,8520,479.911,response truncated at max_tokens
gemma4_26b_a4b,baseline,Prob118_history_shift,sequential,pass,1,1,,0,1,1,0,0,0,1,372,7377,7749,431.061,
gemma4_26b_a4b,baseline,Prob119_fsm3,fsm,pass,1,1,,0,1,1,0,0,0,1,222,2129,2351,123.463,
gemma4_26b_a4b,baseline,Prob120_fsm3s,fsm,pass,1,1,,0,1,1,0,0,0,1,214,1565,1779,90.85,
gemma4_26b_a4b,baseline,Prob121_2014_q3bfsm,fsm,pass,1,1,,0,1,1,0,0,0,1,269,3004,3273,174.343,
gemma4_26b_a4b,baseline,Prob122_kmap4,kmap_logic,pass,1,1,,0,1,1,0,0,0,1,192,4270,4462,249.755,
gemma4_26b_a4b,baseline,Prob123_bugs_addsubz,arithmetic,pass,1,1,,0,1,1,0,0,0,1,210,2735,2945,160.054,
gemma4_26b_a4b,baseline,Prob124_rule110,sequential,functional_mismatch,0,1,,6220,1,1,0,0,0,1,439,5701,6140,337.791,
gemma4_26b_a4b,baseline,Prob125_kmap3,arithmetic,truncated,0,0,,,1,1,0,0,0,1,210,8192,8402,482.736,response truncated at max_tokens
gemma4_26b_a4b,baseline,Prob126_circuit6,combinational,pass,1,1,,0,1,1,0,0,0,1,335,1564,1899,94.015,
gemma4_26b_a4b,baseline,Prob127_lemmings1,fsm,pass,1,1,,0,1,1,0,0,0,1,340,6857,7197,403.967,
gemma4_26b_a4b,baseline,Prob128_fsm_ps2,fsm,pass,1,1,,0,1,1,0,0,0,1,296,3518,3814,207.558,
gemma4_26b_a4b,baseline,Prob129_ece241_2013_q8,fsm,pass,1,1,,0,1,1,0,0,0,1,205,2451,2656,144.152,
gemma4_26b_a4b,baseline,Prob130_circuit5,combinational,pass,1,1,,0,1,1,0,0,0,1,487,2540,3027,149.174,
gemma4_26b_a4b,baseline,Prob131_mt2015_q4,combinational,compile_error,0,0,port_mismatch,,1,1,0,0,0,1,428,7598,8026,446.334,
gemma4_26b_a4b,baseline,Prob132_always_if2,arithmetic,pass,1,1,,0,1,1,0,0,0,1,189,2759,2948,161.539,
gemma4_26b_a4b,baseline,Prob133_2014_q3fsm,fsm,truncated,0,0,,,1,1,0,0,0,1,292,8192,8484,483.305,response truncated at max_tokens
gemma4_26b_a4b,baseline,Prob134_2014_q3c,fsm,truncated,0,0,,,1,1,0,0,0,1,270,8192,8462,484.771,response truncated at max_tokens
gemma4_26b_a4b,baseline,Prob135_m2014_q6b,fsm,truncated,0,0,,,1,1,0,0,0,1,287,8192,8479,485.595,response truncated at max_tokens
gemma4_26b_a4b,baseline,Prob136_m2014_q6,fsm,functional_mismatch,0,1,,6,1,1,0,0,0,1,237,3704,3941,217.919,
gemma4_26b_a4b,baseline,Prob137_fsm_serial,fsm,pass,1,1,,0,1,1,0,0,0,1,292,7380,7672,437.756,
gemma4_26b_a4b,baseline,Prob138_2012_q2fsm,fsm,pass,1,1,,0,1,1,0,0,0,1,307,3924,4231,232.931,
gemma4_26b_a4b,baseline,Prob139_2013_q2bfsm,fsm,truncated,0,0,,,1,1,0,0,0,1,386,8192,8578,485.695,response truncated at max_tokens
gemma4_26b_a4b,baseline,Prob140_fsm_hdlc,fsm,truncated,0,0,,,1,1,0,0,0,1,384,8192,8576,486.658,response truncated at max_tokens
gemma4_26b_a4b,baseline,Prob141_count_clock,sequential,truncated,0,0,,,1,1,0,0,0,1,302,8192,8494,488.364,response truncated at max_tokens
gemma4_26b_a4b,baseline,Prob142_lemmings2,fsm,truncated,0,0,,,1,1,0,0,0,1,431,8192,8623,489.453,response truncated at max_tokens
gemma4_26b_a4b,baseline,Prob143_fsm_onehot,fsm,pass,1,1,,0,1,1,0,0,0,1,693,6555,7248,390.921,
gemma4_26b_a4b,baseline,Prob144_conwaylife,sequential,pass,1,1,,0,1,1,0,0,0,1,489,6781,7270,405.433,
gemma4_26b_a4b,baseline,Prob145_circuit8,combinational,truncated,0,0,,,1,1,0,0,0,1,650,8192,8842,488.241,response truncated at max_tokens
gemma4_26b_a4b,baseline,Prob146_fsm_serialdata,fsm,truncated,0,0,,,1,1,0,0,0,1,351,8192,8543,488.279,response truncated at max_tokens
gemma4_26b_a4b,baseline,Prob147_circuit10,sequential,truncated,0,0,,,1,1,0,0,0,1,789,8192,8981,490.54,response truncated at max_tokens
gemma4_26b_a4b,baseline,Prob148_2013_q2afsm,fsm,pass,1,1,,0,1,1,0,0,0,1,638,6054,6692,362.233,
gemma4_26b_a4b,baseline,Prob149_ece241_2013_q4,sequential,truncated,0,0,,,1,1,0,0,0,1,444,8192,8636,501.515,response truncated at max_tokens
gemma4_26b_a4b,baseline,Prob150_review2015_fsmonehot,fsm,truncated,0,0,,,1,1,0,0,0,1,774,8192,8966,502.93,response truncated at max_tokens
gemma4_26b_a4b,baseline,Prob151_review2015_fsm,fsm,compile_error,0,0,other_elaboration_error,,1,1,0,0,0,1,395,6190,6585,369.156,
gemma4_26b_a4b,baseline,Prob152_lemmings3,fsm,truncated,0,0,,,1,1,0,0,0,1,617,8192,8809,526.385,response truncated at max_tokens
gemma4_26b_a4b,baseline,Prob153_gshare,sequential,truncated,0,0,,,1,1,0,0,0,1,704,8192,8896,536.862,response truncated at max_tokens
gemma4_26b_a4b,baseline,Prob154_fsm_ps2data,fsm,truncated,0,0,,,1,1,0,0,0,1,1011,8192,9203,536.48,response truncated at max_tokens
gemma4_26b_a4b,baseline,Prob155_lemmings4,fsm,truncated,0,0,,,1,1,0,0,0,1,752,8192,8944,503.556,response truncated at max_tokens
gemma4_26b_a4b,baseline,Prob156_review2015_fancytimer,fsm,truncated,0,0,,,1,1,0,0,0,1,552,8192,8744,443.239,response truncated at max_tokens
gemma4_26b_a4b,react_compiler,Prob001_zero,combinational,pass,1,1,,0,2,1,1,1,0,2,806,214,1020,14.778,
gemma4_26b_a4b,react_compiler,Prob002_m2014_q4i,combinational,truncated,0,0,,,1,0,0,0,0,1,372,8192,8564,499.295,response truncated at max_tokens
gemma4_26b_a4b,react_compiler,Prob003_step_one,combinational,pass,1,1,,0,2,1,1,1,0,2,814,248,1062,16.943,
gemma4_26b_a4b,react_compiler,Prob004_vector2,combinational,pass,1,1,,0,2,1,1,1,0,2,1169,1263,2432,75.869,
gemma4_26b_a4b,react_compiler,Prob005_notgate,combinational,pass,1,1,,0,2,1,1,1,0,2,819,196,1015,13.432,
gemma4_26b_a4b,react_compiler,Prob006_vectorr,combinational,pass,1,1,,0,2,1,1,1,0,2,918,878,1796,53.563,
gemma4_26b_a4b,react_compiler,Prob007_wire,combinational,pass,1,1,,0,2,1,1,1,0,2,818,361,1179,22.993,
gemma4_26b_a4b,react_compiler,Prob008_m2014_q4h,arithmetic,pass,1,1,,0,2,1,1,1,0,2,840,268,1108,18.126,
gemma4_26b_a4b,react_compiler,Prob009_popcount3,combinational,pass,1,1,,0,2,1,1,1,0,2,892,704,1596,42.252,
gemma4_26b_a4b,react_compiler,Prob010_mt2015_q4a,combinational,pass,1,1,,0,2,1,1,1,0,2,857,717,1574,42.864,
gemma4_26b_a4b,react_compiler,Prob011_norgate,combinational,pass,1,1,,0,2,1,1,1,0,2,836,446,1282,25.67,
gemma4_26b_a4b,react_compiler,Prob012_xnorgate,combinational,pass,1,1,,0,2,1,1,1,0,2,838,229,1067,12.537,
gemma4_26b_a4b,react_compiler,Prob013_m2014_q4e,combinational,pass,1,1,,0,2,1,1,1,0,2,852,324,1176,18.492,
gemma4_26b_a4b,react_compiler,Prob014_andgate,combinational,pass,1,1,,0,2,1,1,1,0,2,843,297,1140,18.247,
gemma4_26b_a4b,react_compiler,Prob015_vector1,combinational,pass,1,1,,0,2,1,1,1,0,2,985,817,1802,50.438,
gemma4_26b_a4b,react_compiler,Prob016_m2014_q4j,arithmetic,pass,1,1,,0,2,1,1,1,0,2,1199,946,2145,58.413,
gemma4_26b_a4b,react_compiler,Prob017_mux2to1v,combinational,pass,1,1,,0,2,1,1,1,0,2,952,680,1632,41.314,
gemma4_26b_a4b,react_compiler,Prob018_mux256to1,combinational,pass,1,1,,0,2,1,1,1,0,2,1003,697,1700,42.693,
gemma4_26b_a4b,react_compiler,Prob019_m2014_q4f,combinational,pass,1,1,,0,2,1,1,1,0,2,934,695,1629,42.198,
gemma4_26b_a4b,react_compiler,Prob020_mt2015_eq2,arithmetic,pass,1,1,,0,2,1,1,1,0,2,956,731,1687,45.146,
gemma4_26b_a4b,react_compiler,Prob021_mux256to1v,combinational,pass,1,1,,0,2,1,1,1,0,2,1054,973,2027,59.868,
gemma4_26b_a4b,react_compiler,Prob022_mux2to1,combinational,pass,1,1,,0,2,1,1,1,0,2,908,1057,1965,65.123,
gemma4_26b_a4b,react_compiler,Prob023_vector100r,combinational,pass,1,1,,0,2,1,1,1,0,2,923,682,1605,41.17,
gemma4_26b_a4b,react_compiler,Prob024_hadd,arithmetic,pass,1,1,,0,2,1,1,1,0,2,903,427,1330,25.451,
gemma4_26b_a4b,react_compiler,Prob025_reduction,arithmetic,pass,1,1,,0,2,1,1,1,0,2,970,1042,2012,64.098,
gemma4_26b_a4b,react_compiler,Prob026_alwaysblock1,combinational,pass,1,1,,0,2,1,1,1,0,2,910,727,1637,43.432,
gemma4_26b_a4b,react_compiler,Prob027_fadd,arithmetic,pass,1,1,,0,2,1,1,1,0,2,933,928,1861,55.916,
gemma4_26b_a4b,react_compiler,Prob028_m2014_q4a,sequential,pass,1,1,,0,2,1,1,1,0,2,862,669,1531,42.447,
gemma4_26b_a4b,react_compiler,Prob029_m2014_q4g,combinational,pass,1,1,,0,2,1,1,1,0,2,1000,1280,2280,78.34,
gemma4_26b_a4b,react_compiler,Prob030_popcount255,combinational,pass,1,1,,0,2,1,1,1,0,2,985,752,1737,46.793,
gemma4_26b_a4b,react_compiler,Prob031_dff,sequential,pass,1,1,,0,2,1,1,1,0,2,880,4567,5447,280.278,
gemma4_26b_a4b,react_compiler,Prob032_vector0,combinational,pass,1,1,,0,2,1,1,1,0,2,1020,527,1547,32.648,
gemma4_26b_a4b,react_compiler,Prob033_ece241_2014_q1c,arithmetic,pass,1,1,,0,2,1,1,1,0,2,1009,1536,2545,92.721,
gemma4_26b_a4b,react_compiler,Prob034_dff8,sequential,functional_mismatch,0,1,,1,2,1,1,1,0,2,914,343,1257,20.579,
gemma4_26b_a4b,react_compiler,Prob035_count1to10,sequential,pass,1,1,,0,2,1,1,1,0,2,1012,1584,2596,96.044,
gemma4_26b_a4b,react_compiler,Prob036_ringer,combinational,pass,1,1,,0,2,1,1,1,0,2,1057,1823,2880,112.184,
gemma4_26b_a4b,react_compiler,Prob037_review2015_count1k,sequential,pass,1,1,,0,2,1,1,1,0,2,1040,925,1965,55.751,
gemma4_26b_a4b,react_compiler,Prob038_count15,sequential,pass,1,1,,0,2,1,1,1,0,2,1025,840,1865,50.083,
gemma4_26b_a4b,react_compiler,Prob039_always_if,combinational,pass,1,1,,0,2,1,1,1,0,2,1069,900,1969,55.881,
gemma4_26b_a4b,react_compiler,Prob040_count10,sequential,pass,1,1,,0,2,1,1,1,0,2,1023,839,1862,53.211,
gemma4_26b_a4b,react_compiler,Prob041_dff8r,sequential,pass,1,1,,0,2,1,1,1,0,2,974,642,1616,40.695,
gemma4_26b_a4b,react_compiler,Prob042_vector4,arithmetic,pass,1,1,,0,2,1,1,1,0,2,1224,811,2035,51.678,
gemma4_26b_a4b,react_compiler,Prob043_vector5,combinational,pass,1,1,,0,2,1,1,1,0,2,1451,4346,5797,266.113,
gemma4_26b_a4b,react_compiler,Prob044_vectorgates,combinational,pass,1,1,,0,2,1,1,1,0,2,1120,907,2027,55.95,
gemma4_26b_a4b,react_compiler,Prob045_edgedetect2,sequential,pass,1,1,,0,2,1,1,1,0,2,1060,3772,4832,231.078,
gemma4_26b_a4b,react_compiler,Prob046_dff8p,sequential,pass,1,1,,0,2,1,1,1,0,2,1002,692,1694,42.671,
